StudentID,FirstName,LastName,DateOfBirth,EnrollmentDate,Major
343,Cynthia,Parsons,2000-01-04,2018-07-08,Science
344,William,Johnson,1993-11-27,2021-09-12,History
345,Stephanie,Willis,2000-03-31,2015-03-01,Engineering
346,Patrick,Pierce,2001-06-05,2023-08-08,Engineering
347,Sheryl,Thompson,2005-09-09,2015-09-03,Mathematics
348,Audrey,Brown,2005-03-04,2021-03-05,Computer Science
349,Katherine,Barton,2004-02-28,2022-05-17,Engineering
350,Kimberly,Cohen,2005-01-20,2015-12-30,Art
351,Bryce,Gomez,1996-02-04,2023-01-15,Computer Science
352,Donna,Johnson,2002-03-12,2021-05-01,Art
353,Michael,Stark,1995-01-30,2019-07-03,Art
354,Sarah,Schroeder,1998-08-08,2021-11-01,Computer Science
355,Kimberly,Simpson,2000-02-14,2019-07-06,Science
356,Kenneth,Gomez,1996-03-21,2021-11-22,Computer Science
357,Stephanie,Carey,1994-11-04,2017-06-06,Computer Science
358,Theresa,Jones,1996-01-07,2018-12-03,Computer Science
359,Caitlin,Brown,1997-09-25,2023-03-15,Engineering
360,Anna,Martinez,1994-02-14,2018-12-24,Mathematics
361,Melissa,Farmer,2000-11-14,2023-05-31,History
362,Glenn,Campbell,1999-07-31,2018-03-08,Art
363,Rodney,Barber,1998-04-18,2022-08-09,Engineering
364,Jessica,Joyce,2000-02-28,2014-09-26,Computer Science
365,Edward,Watkins,2001-03-12,2018-08-11,Computer Science
366,Jessica,Clarke,1998-10-05,2019-07-14,History
367,Eileen,Smith,1996-02-25,2014-11-19,Engineering
368,Brandon,Paul,1995-06-01,2021-05-18,Science
369,Heather,Hudson,2004-01-15,2023-05-08,Computer Science
370,Darrell,Jones,1998-01-30,2016-09-17,Mathematics
371,Haley,Huang,2004-11-03,2016-07-29,Art
372,Amber,Luna,1998-05-03,2017-08-08,History
373,Charles,Harper,1996-09-29,2023-08-15,Science
374,Gregory,Rodriguez,2000-04-07,2016-07-10,History
375,Carrie,Lara,1993-10-08,2020-12-06,Art
376,Tracie,Campbell,1999-03-19,2019-05-27,Engineering
377,Richard,Levy,2001-07-08,2016-06-20,Science
378,Daniel,Maxwell,1995-07-10,2021-10-30,Computer Science
379,Anthony,Gutierrez,2001-07-07,2015-03-15,Computer Science
380,Bruce,Buck,2001-01-27,2022-11-14,Mathematics
381,Sabrina,Pierce,1996-02-20,2019-05-10,Engineering
382,Tara,Johns,2004-09-19,2016-12-27,History
383,Cindy,Bowers,2004-07-20,2016-09-28,Mathematics
384,Lisa,Kelley,2001-11-28,2015-06-14,History
385,Kelly,Keller,1996-02-29,2020-09-18,Science
386,Casey,Silva,2004-08-28,2024-04-20,History
387,Paige,Rollins,2006-05-18,2020-06-09,Art
388,Taylor,Mann,1993-11-09,2018-01-26,Computer Science
389,Glen,Johnson,2005-06-24,2023-10-05,Mathematics
390,Suzanne,Lang,2003-11-02,2024-03-30,Mathematics
391,Kathleen,Clark,1994-04-09,2021-08-22,Science
392,Michelle,Fleming,2004-05-25,2019-07-03,Science
393,Sydney,Colon,2000-10-03,2020-07-04,Art
394,Andrew,Jones,1997-10-22,2015-10-18,History
395,Bonnie,Gutierrez,2001-09-18,2020-04-12,Science
396,Sandra,Brennan,1993-11-12,2018-01-08,History
397,Holly,Walker,2002-04-28,2015-01-14,Science
398,Robert,Chavez,1998-01-26,2020-01-11,History
399,Elizabeth,Smith,1999-07-08,2014-09-05,History
400,Paul,Carter,2005-12-26,2020-02-14,History
401,Joshua,Mcmahon,1999-01-19,2017-11-20,Art
402,Melissa,Barnes,2003-02-05,2020-08-06,Computer Science
403,Chad,Strickland,2004-06-29,2019-04-16,Engineering
404,Jessica,Wagner,1998-12-09,2019-07-25,History
405,Mariah,Shelton,1994-05-05,2014-12-23,Art
406,Kevin,Leonard,1998-12-10,2020-08-14,Engineering
407,Scott,Powell,1999-01-22,2016-07-15,Computer Science
408,Kenneth,Johnson,1999-07-28,2021-02-23,Computer Science
409,Jamie,Garcia,2006-04-20,2017-11-20,History
410,Nathan,Rios,2000-03-16,2024-07-12,Mathematics
411,Shelby,Sanders,1994-09-28,2016-06-16,Science
412,Gregory,Fox,1996-01-09,2023-05-20,Mathematics
413,Valerie,Tucker,1993-11-30,2022-09-27,Art
414,Christina,Riddle,1994-08-21,2018-08-30,Science
415,Keith,Wood,1996-05-21,2020-10-12,Computer Science
416,Pamela,Brown,2002-11-04,2023-09-25,Science
417,Carolyn,Ramirez,2000-11-23,2016-09-28,Science
418,Jason,Baker,2003-06-02,2016-12-04,Computer Science
419,Makayla,Knox,1997-09-27,2019-09-12,Computer Science
420,Annette,Gonzales,1994-05-31,2021-09-10,Engineering
421,Aaron,Fowler,2000-03-29,2017-12-07,Engineering
422,Jason,George,1998-02-07,2020-04-12,Computer Science
423,Stacey,Miller,1999-04-20,2023-09-25,Computer Science
424,Taylor,Webster,1997-09-23,2016-05-02,Mathematics
425,Laura,Turner,1996-07-02,2023-08-11,History
426,Christine,Waller,1996-04-19,2022-01-11,Engineering
427,Katherine,Anderson,2004-04-09,2022-12-16,Computer Science
428,Sandra,Price,2005-11-28,2017-05-21,Engineering
429,Michael,Huffman,1995-06-18,2019-07-27,Computer Science
430,Richard,Fritz,2004-08-13,2020-05-28,Engineering
431,Haley,Stevens,2000-08-15,2019-04-19,Computer Science
432,Christopher,Sanchez,2001-09-30,2016-10-08,Mathematics
433,Cynthia,Hart,1996-08-25,2017-09-24,Mathematics
434,Steven,Lynch,1999-05-16,2020-01-09,Science
435,Jeanette,Lewis,1998-12-30,2024-03-13,Art
436,Jason,Goodman,1997-02-15,2017-09-28,Engineering
437,Joseph,Carlson,2003-07-23,2020-08-04,Computer Science
438,Sydney,Bates,2006-06-29,2023-05-24,Science
439,Donna,Davis,2001-01-07,2016-02-27,Mathematics
440,Michael,Greer,2006-07-26,2023-07-29,Computer Science
441,Douglas,Thompson,2002-06-12,2021-07-03,Computer Science
442,Ashley,Henry,2005-02-23,2017-10-24,Engineering
443,Gregory,Warren,2000-10-27,2017-05-31,Science
444,Mark,Ryan,1997-03-14,2015-10-11,Art
445,Ruben,Miller,1997-06-03,2021-10-03,Engineering
446,Donna,Parker,1998-10-23,2020-12-21,Computer Science
447,Nicole,Hunter,1996-10-26,2021-06-09,History
448,Travis,Barrera,1997-09-30,2024-07-10,Science
449,Alan,Reeves,1997-02-03,2016-07-02,Computer Science
450,Daniel,Miller,1998-06-06,2016-09-16,Art
451,Randy,Olson,2002-04-19,2016-11-04,Art
452,Tammy,Armstrong,1995-01-02,2019-12-28,Computer Science
453,Cynthia,Dodson,1995-09-16,2018-03-21,Art
454,Aaron,Baldwin,2006-04-20,2020-03-18,Art
455,Michael,Woodward,2001-11-11,2017-03-28,Mathematics
456,Alexandra,Petersen,1999-03-17,2019-01-31,History
457,Mark,Glenn,1996-09-05,2020-04-20,Mathematics
458,Meghan,Bryant,2001-01-25,2016-02-23,Science
459,Julie,Chase,1993-11-22,2024-03-31,Art
460,Matthew,Williams,1996-06-13,2017-04-21,Engineering
461,Juan,Levine,2006-01-26,2020-04-07,History
462,James,Stewart,2006-04-14,2019-11-03,Science
463,Christopher,Foster,2002-09-23,2023-10-29,Science
464,Tiffany,Smith,1995-05-08,2014-09-21,Science
465,Sonya,Hancock,1994-01-30,2019-04-20,History
466,James,Vasquez,1994-05-02,2020-01-11,History
467,Keith,Trujillo,2001-01-02,2022-04-08,History
468,Eugene,Davis,1994-07-08,2017-10-11,Art
469,Brian,Mcdaniel,2001-07-01,2021-07-26,Engineering
470,Richard,Russell,1995-05-18,2017-08-05,Mathematics
471,Paige,Wade,2006-05-03,2014-11-13,Mathematics
472,Brandon,Bauer,2002-08-14,2023-05-16,History
473,Hailey,Elliott,2002-08-03,2021-09-22,History
